
--- Σελίδα 1 ---
| Έ τ ο ς Σ π ο υ δ ώ ν Α΄ |  |  | 1ο Ε ξ ά μ η ν ο (6 Μαθήματα) |  |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Κατεύθυνση Σπουδών: |  | Ενεργειακού Ηλεκτρολόγου Μηχανικού |  |  |  |  |  |
|  |  | Ηλεκτρονικού Ηλεκτρολόγου Μηχανικού και Μηχανικού Υπολογιστών |  |  |  |  |  |
|  |  | Τηλεπικοινωνιακού Ηλεκτρολόγου Μηχανικού |  |  |  |  |  |
| Α/Α | ΥΠΟΧΡΕΩΤΙΚΑ ΜΑΘΗΜΑΤΑ |  | ECTS | Δ.Μ. | Θεωρία | Ασκήσεις | Εργαστ. |
| 1 | Λογισμός μιας Μεταβλητής - Γραμμική Άλγεβρα |  | 5 | 5 | 3 | 2 | 0 |
| 2 | Τεχνικό Σχέδιο |  | 5 | 3,5 | 2 | 0 | 3 |
| 3 | Δομημένος Προγραμματισμός |  | 6 | 4 | 2 | 1 | 2 |
| 4 | Φυσική |  | 5 | 4 | 2 | 1 | 2 |
| 5 | Ηλεκτρικές Μετρήσεις |  | 6 | 4 | 2 | 1 | 2 |
|  | ΣΥΝΟΛΟ |  | 27 | 20,5 | 11 | 5 | 9 |
| Α/Α | ΜΑΘΗΜΑΤΑ ΕΠΙΛΟΓΗΣ (υποχρεωτικά 1) |  | ECTS | Δ.Μ. | Θεωρία | Ασκήσεις | Εργαστ. |
| 1 | Τεχνική Νομοθεσία και Μελέτες |  | 3 | 3 | 2 | 1 | 0 |
| 2 | Ιστορία της Επιστήμης του Ηλεκτρολόγου Μηχανικού και Μηχανικού Υπολογιστών |  | 3 | 3 | 2 | 1 | 0 |
| 3 | Φιλοσοφία της Επιστήμης |  | 3 | 3 | 2 | 1 | 0 |
| Α/Α | ΜΑΘΗΜΑΤΑ ΕΛΕΥΘΕΡΗΣ ΕΠΙΛΟΓΗΣ (Δεν υπολογίζονται στη λήψη του διπλώματος) |  | ECTS | Δ.Μ. | Θεωρία | Ασκήσεις | Εργαστ. |
| 1 | Ξένη Γλώσσα Ι |  | 3 | 3 | 3 | 0 | 0 |
|  | ΕΛΑΧΙΣΤΑ ΣΥΝΟΛΑ |  | 30 | 23,5 | 13 | 6 | 9 |

--- Σελίδα 2 ---
| Έ τ ο ς Σ π ο υ δ ώ ν Α΄ |  |  | 2ο Ε ξ ά μ η ν ο (6 Μαθήματα) |  |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Κατεύθυνση Σπουδών: |  | Ενεργειακού Ηλεκτρολόγου Μηχανικού |  |  |  |  |  |
|  |  | Ηλεκτρονικού Ηλεκτρολόγου Μηχανικού και Μηχανικού Υπολογιστών |  |  |  |  |  |
|  |  | Τηλεπικοινωνιακού Ηλεκτρολόγου Μηχανικού |  |  |  |  |  |
| Α/Α | ΥΠΟΧΡΕΩΤΙΚΑ ΜΑΘΗΜΑΤΑ |  | ECTS | Δ.Μ. | Θεωρία | Ασκήσεις | Εργαστ. |
| 1 | Διαφορικές Εξισώσεις και Μετασχηματισμοί |  | 5 | 5 | 3 | 2 | 0 |
| 2 | Αντικειμενοστρεφής Προγραμματισμός |  | 5 | 4 | 2 | 1 | 2 |
| 3 | Ηλεκτρικά Κυκλώματα Ι |  | 5 | 4 | 2 | 1 | 2 |
| 4 | Επιστήμη Υλικών |  | 5 | 4 | 2 | 1 | 2 |
| 5 | Λογισμός Πολλών Μεταβλητών |  | 5 | 5 | 3 | 2 | 0 |
|  | ΣΥΝΟΛΟ |  | 25 | 22 | 12 | 7 | 6 |
| Α/Α | ΜΑΘΗΜΑΤΑ ΕΠΙΛΟΓΗΣ (υποχρεωτικά 1) |  | ECTS | Δ.Μ. | Θεωρία | Ασκήσεις | Εργαστ. |
| 1 | Εφαρμοσμένη Θερμοδυναμική |  | 5 | 4 | 2 | 2 | 0 |
| 2 | Τεχνική Μηχανική |  | 5 | 4 | 2 | 1 | 2 |
| Α/Α | ΜΑΘΗΜΑΤΑ ΕΛΕΥΘΕΡΗΣ ΕΠΙΛΟΓΗΣ (Δεν υπολογίζονται στη λήψη του διπλώματος) |  | ECTS | Δ.Μ. | Θεωρία | Ασκήσεις | Εργαστ. |
| 1 | Ξένη Γλώσσα ΙI |  | 3 | 3 | 3 | 0 | 0 |
|  | ΕΛΑΧΙΣΤΑ ΣΥΝΟΛΑ |  | 30 | 26 | 14 | 8 | 6 |

--- Σελίδα 3 ---
| Έ τ ο ς Σ π ο υ δ ώ ν B΄ |  |  | 3ο Ε ξ ά μ η ν ο (6 Μαθήματα) |  |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Κατεύθυνση Σπουδών: |  | Ενεργειακού Ηλεκτρολόγου Μηχανικού |  |  |  |  |  |
|  |  | Ηλεκτρονικού Ηλεκτρολόγου Μηχανικού και Μηχανικού Υπολογιστών |  |  |  |  |  |
|  |  | Τηλεπικοινωνιακού Ηλεκτρολόγου Μηχανικού |  |  |  |  |  |
| Α/Α | ΥΠΟΧΡΕΩΤΙΚΑ ΜΑΘΗΜΑΤΑ |  | ECTS | Δ.Μ. | Θεωρία | Ασκήσεις | Εργαστ. |
| 1 | Εφαρμοσμένη Αριθμητική Ανάλυση |  | 5 | 4 | 2 | 1 | 2 |
| 2 | Ηλεκτρικά Κυκλώματα ΙΙ |  | 6 | 4 | 2 | 1 | 2 |
| 3 | Ηλεκτρομαγνητικά Πεδία Ι |  | 5 | 4 | 2 | 1 | 2 |
| 4 | Σχεδιασμός Ηλεκτρονικών Κυκλωμάτων |  | 6 | 4 | 2 | 1 | 2 |
| 5 | Αλγόριθμοι και Δομές Δεδομένων |  | 5 | 4 | 2 | 1 | 2 |
|  | ΣΥΝΟΛΟ |  | 27 | 20 | 10 | 5 | 10 |
| Α/Α | ΜΑΘΗΜΑΤΑ ΕΠΙΛΟΓΗΣ (υποχρεωτικά 1) |  | ECTS | Δ.Μ. | Θεωρία | Ασκήσεις | Εργαστ. |
| 1 | Επιχειρησιακή Έρευνα |  | 3 | 3 | 2 | 1 | 0 |
| 2 | Μετάδοση Θερμότητας |  | 3 | 3 | 2 | 1 | 0 |
| 3 | Μαθηματικό Λογισμικό |  | 3 | 4 | 2 | 1 | 2 |
| 4 | Μάθημα άλλου Τμήματος (Π.Μ.) Διαχείριση Περιβάλλοντος Ι |  | 3 | 3 | 3 | 0 | 0 |
|  | ΕΛΑΧΙΣΤΑ ΣΥΝΟΛΑ |  | 30 | 23 | 12 | 5 | 10 |

--- Σελίδα 4 ---
| Έ τ ο ς Σ π ο υ δ ώ ν B΄ |  |  | 4ο Ε ξ ά μ η ν ο (6 Μαθήματα) |  |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Κατεύθυνση Σπουδών: |  | Ενεργειακού Ηλεκτρολόγου Μηχανικού |  |  |  |  |  |
|  |  | Ηλεκτρονικού Ηλεκτρολόγου Μηχανικού και Μηχανικού Υπολογιστών |  |  |  |  |  |
|  |  | Τηλεπικοινωνιακού Ηλεκτρολόγου Μηχανικού |  |  |  |  |  |
| Α/Α | ΥΠΟΧΡΕΩΤΙΚΑ ΜΑΘΗΜΑΤΑ |  | ECTS | Δ.Μ. | Θεωρία | Ασκήσεις | Εργαστ. |
| 1 | Μικροηλεκτρονική |  | 5 | 4 | 2 | 1 | 2 |
| 2 | Σχεδιασμός Ψηφιακών Συστημάτων |  | 6 | 4 | 2 | 1 | 2 |
| 3 | Ηλεκτρομαγνητικά Πεδία ΙΙ |  | 5 | 5 | 3 | 2 | 0 |
| 4 | Σήματα και Συστήματα |  | 6 | 4 | 2 | 1 | 2 |
| 5 | Θεωρία Πιθανοτήτων και Στατιστική |  | 5 | 5 | 3 | 2 | 0 |
|  | ΣΥΝΟΛΟ |  | 27 | 22 | 12 | 7 | 6 |
| Α/Α | ΜΑΘΗΜΑΤΑ ΕΠΙΛΟΓΗΣ (υποχρεωτικά 1) |  | ECTS | Δ.Μ. | Θεωρία | Ασκήσεις | Εργαστ. |
| 1 | Αλληλεπίδραση Ανθρώπου Υπολογιστή |  | 3 | 4 | 2 | 1 | 2 |
| 2 | Αισθητήρες |  | 3 | 3 | 2 | 1 | 0 |
| 3 | Τυποποίηση–Πρότυπα–Διαχείριση Ολικής Ποιότητας |  | 3 | 3 | 2 | 1 | 0 |
| 4 | Επιστημονικοί Υπολογισμοί |  | 3 | 4 | 2 | 1 | 2 |
| 5 | Μάθημα άλλου Τμήματος (Π.Μ.) Ασφάλεια Συστημάτων Μηχανικού |  | 3 | 3 | 3 | 0 | 0 |
